<?xml version="1.0" encoding="utf-8"?>
<ComparisonDefinition xmlns:xsi="http://www.w3.org/2001/XMLSchema-instance" xmlns:xsd="http://www.w3.org/2001/XMLSchema">
  <Delimiter>,</Delimiter>
  <KeyColumns>
    <Column>COL A</Column>
  </KeyColumns>
  <HeaderRowIndex>0</HeaderRowIndex>
  <ToleranceValue>0.1</ToleranceValue>
  <IgnoreInvalidRows>false</IgnoreInvalidRows>
  <ToleranceType>Relative</ToleranceType>
</ComparisonDefinition>
Reference: C:\temp\ReferenceTest.csv
Target: C:\temp\CandidateTest.csv
Comparison took 679ms
Break Type,Key,Reference Row, Reference Value, Candidate Row, Candidate Value
ValueMismatch,18300,18301,1.5,18299,32.1
ValueMismatch,18400,18401,C,18399,A
ValueMismatch,18400,18401,G,18399,F
ValueMismatch,18400,18401,1.5,18399,10.5
ValueMismatch,18500,18501,C,18499,A
ValueMismatch,18500,18501,G,18499,E
ValueMismatch,18500,18501,10.5,18499,1.5
ValueMismatch,18700,18701,B,18699,C
ValueMismatch,18700,18701,F,18699,G
ValueMismatch,18700,18701,10.5,18699,1.5
ValueMismatch,18800,18801,B,18799,A
ValueMismatch,18800,18801,32.1,18799,1.5
ValueMismatch,18900,18901,G,18899,E
ValueMismatch,19000,19001,A,18999,C
ValueMismatch,19000,19001,E,18999,G
ValueMismatch,19000,19001,32.1,18999,1.5
ValueMismatch,19100,19101,A,19099,C
ValueMismatch,19100,19101,F,19099,E
ValueMismatch,19200,19201,A,19199,C
ValueMismatch,19200,19201,1.5,19199,32.1
ValueMismatch,19300,19301,C,19299,A
ValueMismatch,19300,19301,G,19299,F
ValueMismatch,19300,19301,1.5,19299,10.5
ValueMismatch,19400,19401,C,19399,A
ValueMismatch,19400,19401,10.5,19399,1.5
ValueMismatch,19500,19501,C,19499,B
ValueMismatch,19500,19501,32.1,19499,1.5
ValueMismatch,19600,19601,B,19599,A
ValueMismatch,19600,19601,E,19599,G
ValueMismatch,19600,19601,10.5,19599,32.1
ValueMismatch,19700,19701,C,19699,A
ValueMismatch,19700,19701,10.5,19699,1.5
ValueMismatch,19800,19801,1.5,19799,32.1
ValueMismatch,19900,19901,E,19899,F
ValueMismatch,20000,20001,A,19999,C
ValueMismatch,20100,20101,C,20099,A
ValueMismatch,20100,20101,E,20099,G
ValueMismatch,20100,20101,10.5,20099,1.5
ValueMismatch,20200,20201,B,20199,A
ValueMismatch,20300,20301,G,20299,E
ValueMismatch,20400,20401,E,20399,G
ValueMismatch,20400,20401,32.1,20399,10.5
ValueMismatch,20500,20501,G,20499,F
ValueMismatch,20500,20501,10.5,20499,1.5
ValueMismatch,20600,20601,A,20599,C
ValueMismatch,20600,20601,F,20599,E
ValueMismatch,20600,20601,32.1,20599,10.5
ValueMismatch,20700,20701,1.5,20699,10.5
ValueMismatch,20800,20801,G,20799,F
ValueMismatch,20800,20801,1.5,20799,10.5
ValueMismatch,20900,20901,C,20899,B
ValueMismatch,20900,20901,G,20899,F
ValueMismatch,20900,20901,10.5,20899,1.5
ValueMismatch,21000,21001,B,20999,C
ValueMismatch,21000,21001,1.5,20999,32.1
ValueMismatch,21100,21101,C,21099,A
ValueMismatch,21100,21101,G,21099,E
ValueMismatch,21100,21101,32.1,21099,10.5
ValueMismatch,21200,21201,F,21199,E
ValueMismatch,21300,21301,E,21299,F
ValueMismatch,21300,21301,10.5,21299,32.1
ValueMismatch,21400,21401,C,21399,B
ValueMismatch,21400,21401,32.1,21399,1.5
ValueMismatch,21500,21501,A,21499,B
ValueMismatch,21500,21501,10.5,21499,32.1
ValueMismatch,21600,21601,A,21599,C
ValueMismatch,21600,21601,F,21599,G
ValueMismatch,21600,21601,10.5,21599,1.5
ValueMismatch,21700,21701,A,21699,C
ValueMismatch,21700,21701,10.5,21699,32.1
ValueMismatch,21800,21801,C,21799,A
ValueMismatch,21800,21801,G,21799,E
ValueMismatch,21800,21801,32.1,21799,10.5
ValueMismatch,21900,21901,A,21899,C
ValueMismatch,21900,21901,F,21899,E
ValueMismatch,21900,21901,1.5,21899,32.1
ValueMismatch,22000,22001,C,21999,A
ValueMismatch,22100,22101,A,22099,B
ValueMismatch,22100,22101,1.5,22099,10.5
ValueMismatch,22200,22201,G,22199,F
ValueMismatch,22300,22301,F,22299,E
ValueMismatch,22400,22401,F,22399,E
ValueMismatch,22500,22501,C,22499,A
ValueMismatch,22500,22501,G,22499,E
ValueMismatch,22600,22601,10.5,22599,1.5
ValueMismatch,22700,22701,C,22699,B
ValueMismatch,22800,22801,C,22799,B
ValueMismatch,22800,22801,F,22799,G
ValueMismatch,22800,22801,32.1,22799,10.5
ValueMismatch,22900,22901,10.5,22899,32.1
ValueMismatch,23000,23001,B,22999,C
ValueMismatch,23100,23101,B,23099,A
ValueMismatch,23100,23101,F,23099,E
ValueMismatch,23100,23101,1.5,23099,32.1
ValueMismatch,23200,23201,A,23199,B
ValueMismatch,23200,23201,F,23199,E
ValueMismatch,23200,23201,32.1,23199,10.5
ValueMismatch,23300,23301,A,23299,B
ValueMismatch,23300,23301,1.5,23299,32.1
ValueMismatch,23400,23401,G,23399,E
ValueMismatch,23400,23401,1.5,23399,32.1
ValueMismatch,23500,23501,B,23499,A
ValueMismatch,23500,23501,E,23499,G
ValueMismatch,23500,23501,1.5,23499,10.5
ValueMismatch,23600,23601,C,23599,A
ValueMismatch,23600,23601,E,23599,G
ValueMismatch,23600,23601,10.5,23599,1.5
ValueMismatch,23700,23701,C,23699,A
ValueMismatch,23700,23701,E,23699,G
ValueMismatch,23800,23801,B,23799,C
ValueMismatch,23800,23801,G,23799,F
ValueMismatch,23900,23901,C,23899,B
ValueMismatch,23900,23901,F,23899,G
ValueMismatch,23900,23901,32.1,23899,10.5
ValueMismatch,24000,24001,E,23999,F
ValueMismatch,24000,24001,10.5,23999,32.1
ValueMismatch,24100,24101,A,24099,C
ValueMismatch,24100,24101,F,24099,G
ValueMismatch,24100,24101,32.1,24099,1.5
ValueMismatch,24200,24201,A,24199,C
ValueMismatch,24200,24201,1.5,24199,32.1
ValueMismatch,24300,24301,A,24299,B
ValueMismatch,24300,24301,G,24299,E
ValueMismatch,24300,24301,32.1,24299,1.5
ValueMismatch,24400,24401,10.5,24399,1.5
ValueMismatch,24500,24501,B,24499,A
ValueMismatch,24500,24501,F,24499,E
ValueMismatch,24500,24501,1.5,24499,10.5
ValueMismatch,24600,24601,A,24599,B
ValueMismatch,24600,24601,F,24599,E
ValueMismatch,24700,24701,F,24699,G
ValueMismatch,24800,24801,B,24799,C
ValueMismatch,24800,24801,F,24799,E
ValueMismatch,24800,24801,32.1,24799,1.5
ValueMismatch,24900,24901,E,24899,G
ValueMismatch,24900,24901,32.1,24899,10.5
ValueMismatch,25000,25001,E,24999,G
ValueMismatch,25100,25101,B,25099,C
ValueMismatch,25100,25101,G,25099,F
ValueMismatch,25100,25101,10.5,25099,32.1
ValueMismatch,25200,25201,B,25199,A
ValueMismatch,25200,25201,E,25199,G
ValueMismatch,25200,25201,1.5,25199,10.5
ValueMismatch,25300,25301,C,25299,A
ValueMismatch,25300,25301,E,25299,G
ValueMismatch,25400,25401,A,25399,C
ValueMismatch,25400,25401,F,25399,E
ValueMismatch,25500,25501,C,25499,A
ValueMismatch,25600,25601,A,25599,C
ValueMismatch,25600,25601,F,25599,G
ValueMismatch,25600,25601,1.5,25599,10.5
ValueMismatch,25700,25701,C,25699,B
ValueMismatch,25700,25701,G,25699,E
ValueMismatch,25700,25701,10.5,25699,32.1
ValueMismatch,25800,25801,32.1,25799,1.5
ValueMismatch,25900,25901,B,25899,C
ValueMismatch,25900,25901,E,25899,F
ValueMismatch,25900,25901,10.5,25899,1.5
ValueMismatch,26000,26001,E,25999,G
ValueMismatch,26100,26101,B,26099,A
ValueMismatch,26100,26101,F,26099,G
ValueMismatch,26100,26101,1.5,26099,32.1
ValueMismatch,26200,26201,B,26199,A
ValueMismatch,26200,26201,E,26199,F
ValueMismatch,26300,26301,A,26299,C
ValueMismatch,26300,26301,G,26299,F
ValueMismatch,26300,26301,32.1,26299,10.5
ValueMismatch,26400,26401,B,26399,A
ValueMismatch,26400,26401,F,26399,G
ValueMismatch,26400,26401,10.5,26399,1.5
ValueMismatch,26500,26501,A,26499,C
ValueMismatch,26500,26501,F,26499,G
ValueMismatch,26600,26601,B,26599,C
ValueMismatch,26600,26601,F,26599,G
ValueMismatch,26600,26601,32.1,26599,10.5
ValueMismatch,26700,26701,1.5,26699,32.1
ValueMismatch,26800,26801,A,26799,C
ValueMismatch,26800,26801,F,26799,E
ValueMismatch,26800,26801,32.1,26799,10.5
ValueMismatch,26900,26901,B,26899,A
ValueMismatch,26900,26901,F,26899,G
ValueMismatch,26900,26901,32.1,26899,10.5
ValueMismatch,27000,27001,F,26999,G
ValueMismatch,27000,27001,1.5,26999,10.5
ValueMismatch,27100,27101,B,27099,A
ValueMismatch,27100,27101,E,27099,F
ValueMismatch,27100,27101,1.5,27099,10.5
ValueMismatch,27200,27201,A,27199,C
ValueMismatch,27200,27201,E,27199,F
ValueMismatch,27200,27201,1.5,27199,10.5
ValueMismatch,27300,27301,C,27299,A
ValueMismatch,27300,27301,G,27299,E
ValueMismatch,27300,27301,1.5,27299,32.1
ValueMismatch,27400,27401,B,27399,A
ValueMismatch,27400,27401,G,27399,E
ValueMismatch,27400,27401,10.5,27399,32.1
ValueMismatch,27500,27501,F,27499,E
ValueMismatch,27500,27501,32.1,27499,1.5
ValueMismatch,27600,27601,C,27599,B
ValueMismatch,27600,27601,E,27599,F
ValueMismatch,27700,27701,A,27699,C
ValueMismatch,27700,27701,G,27699,E
ValueMismatch,27700,27701,1.5,27699,32.1
ValueMismatch,27800,27801,B,27799,C
ValueMismatch,27800,27801,G,27799,E
ValueMismatch,27900,27901,B,27899,A
ValueMismatch,27900,27901,F,27899,G
ValueMismatch,28000,28001,C,27999,A
ValueMismatch,28000,28001,F,27999,E
ValueMismatch,28000,28001,1.5,27999,32.1
ValueMismatch,28100,28101,A,28099,B
ValueMismatch,28100,28101,G,28099,F
ValueMismatch,28200,28201,B,28199,A
ValueMismatch,28200,28201,1.5,28199,10.5
ValueMismatch,28300,28301,F,28299,E
ValueMismatch,28300,28301,10.5,28299,1.5
ValueMismatch,28400,28401,A,28399,C
ValueMismatch,28400,28401,F,28399,G
ValueMismatch,28400,28401,32.1,28399,10.5
ValueMismatch,28500,28501,B,28499,A
ValueMismatch,28500,28501,10.5,28499,32.1
ValueMismatch,28600,28601,32.1,28599,10.5
ValueMismatch,28700,28701,B,28699,C
ValueMismatch,28700,28701,E,28699,F
ValueMismatch,28800,28801,32.1,28799,10.5
ValueMismatch,28900,28901,C,28899,A
ValueMismatch,28900,28901,E,28899,G
ValueMismatch,28900,28901,1.5,28899,32.1
ValueMismatch,29000,29001,10.5,28999,32.1
ValueMismatch,29100,29101,B,29099,A
ValueMismatch,29100,29101,F,29099,G
ValueMismatch,29100,29101,32.1,29099,1.5
ValueMismatch,29200,29201,C,29199,B
ValueMismatch,29200,29201,E,29199,G
ValueMismatch,29300,29301,C,29299,A
ValueMismatch,29300,29301,32.1,29299,1.5
ValueMismatch,29400,29401,C,29399,A
ValueMismatch,29400,29401,1.5,29399,32.1
ValueMismatch,29500,29501,A,29499,C
ValueMismatch,29500,29501,G,29499,E
ValueMismatch,29500,29501,32.1,29499,10.5
ValueMismatch,29600,29601,C,29599,A
ValueMismatch,29600,29601,G,29599,E
ValueMismatch,29600,29601,10.5,29599,32.1
ValueMismatch,29700,29701,C,29699,A
ValueMismatch,29700,29701,F,29699,E
ValueMismatch,29800,29801,E,29799,F
ValueMismatch,29800,29801,1.5,29799,10.5
ValueMismatch,29900,29901,C,29899,A
ValueMismatch,29900,29901,1.5,29899,32.1
ValueMismatch,30000,30001,A,29999,C
